key	definitions	type	instances	example
x-swagger-magic-social	1	object	1	https://raw.githubusercontent.com/phaneendra/stinter-web/master/src/api/swagger/swagger.yaml
x-taskAlgo	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-taskClass	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-taskModel	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-test	1	string	1	https://raw.githubusercontent.com/mpoiriert/swagger/master/tests/fixture/schema/swagger.json
x-testValue	1	string	1	http://www.ritc.io/openapi/ritc.swagger.json
x-throttling-policy	1	string	2	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-throttling-tier	1	string	5	https://raw.githubusercontent.com/dbopendata/db-fasta-api-java-client/master/client/src/main/resources/FaSta-Station_Facilities_Status/v1/swagger.json
x-type	1	string	1	http://developers.ijenko.com/swagger.json
x-values	1	object	3	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-wso2-curl	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-request	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-response	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-scopes	1	object	1	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-security	1	object	1	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
